Start = 10061965,End = 10061965,Country:Japan,Location : nan,Type:Storm,Sub_Type:Tropical cyclone,Names:Dinah,Killed = 61. 0,Affected = 30000.0,Cost = nan,ID = 1965-0036
Start = 08092004,End = 08092004,Country:Grenada,Location : nan,Type:Storm,Sub_Type:Tropical cyclone,Names:Ivan,Killed = 39. 0,Affected = 60000.0,Cost = 889.0,ID = 2004-0462
Start = 15031995,End = 15031995,Country:Russia,Location : Kalmoukie:Daghestan (Mer ...,Type:Transport Accident,Sub_Type:Water,Names:nan,Killed = 52. 0,Affected = nan,Cost = nan,ID = 1995-0362
Start = 00021983,End = 00021983,Country:Cuba,Location : Santiago de Cuba:Pinar d ...,Type:Flood,Sub_Type:nan,Names:nan,Killed = 15. 0,Affected = 164575.0,Cost = 60.0,ID = 1983-0042
Start = 00001983,End = 00001983,Country:Nepal,Location : nan,Type:Mass movement wet,Sub_Type:Landslide,Names:nan,Killed = 21. 0,Affected = nan,Cost = nan,ID = 1983-0526
Start = 26071996,End = 26071996,Country:Russia,Location : Volgorgrad,Type:Industrial Accident,Sub_Type:Gas Leak,Names:Oil refinery,Killed = nan,Affected = nan,Cost = nan,ID = 1996-0209
Start = 19062003,End = 19062003,Country:Turkey,Location : Kayseri,Type:Miscellaneous accident,Sub_Type:Explosion,Names:Dormitory of a school,Killed = 10. 0,Affected = 13.0,Cost = nan,ID = 2003-0296
Start = 16022003,End = 22022003,Country:Pakistan,Location : Baluchistan:Sindh:North ...,Type:Storm,Sub_Type:nan,Names:nan,Killed = 51. 0,Affected = 2557.0,Cost = nan,ID = 2003-0086
Start = 00081986,End = 00081986,Country:Honduras,Location : Northeast Honduras/Mosqui ...,Type:Flood,Sub_Type:nan,Names:nan,Killed = nan,Affected = 30000.0,Cost = nan,ID = 1986-0093
Start = 13102007,End = 13102007,Country:Colombia,Location : Near Suarez (Cauca),Type:Industrial Accident,Sub_Type:Collapse,Names:Cold mine,Killed = 22. 0,Affected = 24.0,Cost = nan,ID = 2007-0500
Start = 26092002,End = 26092002,Country:Senegal,Location : Au large de la Gambie,Type:Transport Accident,Sub_Type:Water,Names:Ferry 'Joola',Killed = 1200. 0,Affected = nan,Cost = nan,ID = 2002-0622
Start = 22051997,End = 22051997,Country:Mexico,Location : Arteaga:Patzcuaro:Micho ...,Type:Earthquake (seismic activity),Sub_Type:Earthquake (ground shaking),Names:nan,Killed = nan,Affected = 12000.0,Cost = nan,ID = 1997-0116
Start = 28032004,End = 11042004,Country:Canada,Location : Manitoba,Type:Flood,Sub_Type:General flood,Names:nan,Killed = nan,Affected = 1000.0,Cost = nan,ID = 2004-0146
Start = 20021943,End = 20021943,Country:Mexico,Location : nan,Type:Volcano,Sub_Type:Volcanic eruption,Names:Paricutin,Killed = nan,Affected = 3000.0,Cost = nan,ID = 1943-0008
Start = 28051980,End = 28051980,Country:Canada,Location : Webb:Saskatchewan,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 22. 0,Affected = 11.0,Cost = nan,ID = 1980-0212
Start = 09082003,End = 11082003,Country:Algeria,Location : Reggane (Adrar region):T ...,Type:Flood,Sub_Type:General flood,Names:nan,Killed = 13. 0,Affected = nan,Cost = nan,ID = 2003-0396
Start = 02082000,End = 30082000,Country:India,Locations : Gujarat:Andhra Pradesh: ...,Type:Flood,Sub_Type:General flood,Names:nan,Killed = 867. 0,Affected = 22000000.0,Cost = 43.0,ID = 2000-0445
Start = 25092008,End = 28092008,Country:Viet Nam,Location : Lang Son:Son La:Bac Gia ...,Type:Storm,Sub_Type:Tropical cyclone,Names:Typhoon 'Hagupit' (Nina),Killed = 46. 0,Affected = 58511.0,Cost = 63.0,ID = 2008-0426
Start = 18051994,End = 18051994,Country:Bangladesh,Location : North,Type:Storm,Sub_Type:nan,Names:nan,Killed = 15. 0,Affected = 100.0,Cost = nan,ID = 1994-0122
Start = 04122004,End = 04122004,Country:Taiwan (China),Location : South:East,Type:Storm,Sub_Type:Tropical cyclone,Names:Nanmadol (Yoyong/30W),Killed = 3. 0,Affected = nan,Cost = nan,ID = 2004-0618
Start = 23021991,End = 23021991,Country:Soviet Union,Location : Leningrad,Type:Miscellaneous accident,Sub_Type:Fire,Names:Hotel,Killed = 17. 0,Affected = nan,Cost = nan,ID = 1991-0042
Start = 13101910,End = 13101910,Country:Tanzania Uni Rep,Location : United Republic of Rukwa,Type:Earthquake (seismic activity),Sub_Type:Earthquake (ground shaking),Names:nan,Killed = nan,Affected = nan,Cost = nan,ID = 1910-0018
Start = 00012004,End = 00002004,Country:Peru,Location : Cajamarca department,Type:Drought,Sub_Type:Drought,Names:nan,Killed = nan,Affected = nan,Cost = nan,ID = 2004-9063
Start = 00041982,End = 00041982,Country:Morocco,Location : Fez,Type:Mass movement wet,Sub_Type:Landslide,Names:Cliff,Killed = 1. 0,Affected = 12216.0,Cost = nan,ID = 1982-0045
Start = 00122000,End = 00122000,Country:Haiti,Location : Abricots region (Grand'An ...,Type:Flood,Sub_Type:nan,Names:nan,Killed = 12. 0,Affected = 1200.0,Cost = nan,ID = 2000-0797
Start = 22091909,End = 22091909,Country:United States,Location : Louisiana,Type:Flood,Sub_Type:Storm surge/coastal flood,Names:nan,Killed = 72. 0,Affected = nan,Cost = nan,ID = 1909-0017
Start = 06052000,End = 09052000,Country:USA,Location : Franklin:Jefferson count ...,Type:Flood,Sub_Type:Flash flood,Names:nan,Killed = 2. 0,Affected = 2000.0,Cost = nan,ID = 2000-0232
Start = 14042003,End = 14042003,Country:Bangladesh,Location : Buriganga river (North),Type:Transport Accident,Sub_Type:Water,Names:MV Mitali,Killed = 130. 0,Affected = nan,Cost = nan,ID = 2003-0173
Start = 17061974,End = 17061974,Country:Mexico,Location : Near Acapulco,Type:Storm,Sub_Type:Tropical cyclone,Names:nan,Killed = 13. 0,Affected = nan,Cost = nan,ID = 1974-0030
Start = 08052005,End = 08052005,Country:China,Location : Huize County,Type:Earthquake (seismic activity),Sub_Type:Earthquake (ground shaking),Names:nan,Killed = nan,Affected = 18509.0,Cost = nan,ID = 2005-0740
Start = 28022005,End = 23032005,Country:Nigeria,Location : Adamawa:Kano:Jigawa:Ba ...,Type:Epidemic,Sub_Type:Viral Infectious Diseases,Names:nan,Killed = 561. 0,Affected = 23575.0,Cost = nan,ID = 2005-0134
Start = 15082001,End = 19112001,Country:Viet Nam,Location : Long An:Dong Thap:An Gi ...,Type:Flood,Sub_Type:General flood,Names:nan,Killed = 310. 0,Affected = 1570270.0,Cost = 84.0,ID = 2001-0492
Start = 14101987,End = 14101987,Country:Venezuela,Location : Near San Pedro river (Wes ...,Type:Flood,Sub_Type:nan,Names:nan,Killed = 40. 0,Affected = 29.0,Cost = nan,ID = 1987-0190
Start = 17042005,End = 17042005,Country:Switzerland,Location : Valais,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 12. 0,Affected = nan,Cost = nan,ID = 2005-0201
Start = 00001910,End = 00001914,Country:Chad,Location : nan,Type:Drought,Sub_Type:Drought,Names:nan,Killed = nan,Affected = nan,Cost = nan,ID = 1910-9006
Start = 06202006,End = 06202006,Country:China,Location : Gansu,Type:Earthquake (seismic activity),Sub_Type:Earthquake (ground shaking),Names:nan,Killed = nan,Affected = 130.0,Cost = nan,ID = 2006-0464
Start = 24031998,End = 24031998,Country:India,Locations : Tanton:Jaleshwar (Midnap ...,Type:Storm,Sub_Type:Local storm,Names:nan,Killed = 250. 0,Affected = 40500.0,Cost = 10.0,ID = 1998-0106
Start = 23031999,End = 23031999,Country:Pakistan,Location : nan,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 40. 0,Affected = 20.0,Cost = nan,ID = 1999-0655
Start = 01181989,End = 01181989,Country:China,Location : Huinan,Type:Transport Accident,Sub_Type:Rail,Names:nan,Killed = 32. 0,Affected = nan,Cost = nan,ID = 1989-0504
Start = 17091977,End = 17091977,Country:Philippines,Location : Basilan,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 22. 0,Affected = 32.0,Cost = nan,ID = 1977-0168
Start = 02081977,End = 02081977,Country:Mozambique,Location : Moatize,Type:Industrial Accident,Sub_Type:Explosion,Names:Coal mine,Killed = 158. 999999,Affected = nan,Cost = nan,ID = 1977-0100
Start = 29061991,End = 29061991,Country:Ukraine,Location : Ougledar (Donetsk region) ...,Type:Industrial Accident,Sub_Type:Fire,Names:Coal mine,Killed = 31. 999999,Affected = nan,Cost = nan,ID = 1991-0725
Start = 02161995,End = 02161995,Country:China,Location : Guangxi Region,Type:Storm,Sub_Type:Local storm,Names:nan,Killed = 3. 999999,Affected = 15365.0,Cost = nan,ID = 1995-0031
Start = 18051958,End = 18051958,Country:Morocco,Location : Near casablanca,Type:Transport Accident,Sub_Type:Air,Names:DC-C7,Killed = 64. 999999,Affected = 4.0,Cost = nan,ID = 1958-0046
Start = 10272005,End = 10272005,Country:China,Location : Dianzhangou Zhongxing (Xi ...,Type:Industrial Accident,Sub_Type:Explosion,Names:Explosion dans une mine de charbon,Killed = 15. 999999,Affected = nan,Cost = nan,ID = 2005-0609
Start = 00051987,End = 00051987,Country:Poland,Location : nan,Type:Flood,Sub_Type:General flood,Names:nan,Killed = nan,Affected = nan,Cost = 500.0,ID = 1987-0091
Start = 03121999,End = 03121999,Country:Maldives,Location : Indian Ocean,Type:Transport Accident,Sub_Type:Air,Names:Helicopter,Killed = 9. 999999,Affected = nan,Cost = nan,ID = 1999-0555
Start = 07081931,End = 07081931,Country:Philippines,Location : West Luzon,Type:Storm,Sub_Type:Tropical cyclone,Names:nan,Killed = nan,Affected = nan,Cost = nan,ID = 1931-0008
Start = 21011995,End = 02021995,Country:Luxembourg,Location : nan,Type:Storm,Sub_Type:nan,Names:Thaila:Urania:Valeska:Wilma,Killed = nan,Affected = nan,Cost = 10.0,ID = 1995-0008
Start = 27081943,End = 27081943,Country:Brazil,Location : Rio de Janeiro,Type:Transport Accident,Sub_Type:Air,Names:Junkers JU-52/3m,Killed = 17. 999999,Affected = nan,Cost = nan,ID = 1943-0044
Start = 05121987,End = 05121987,Country:Spain,Location : Atlantic coast,Type:Transport Accident,Sub_Type:Water,Names:Crago 'Cason',Killed = 22. 999999,Affected = 3.0,Cost = nan,ID = 1987-0459
Start = 03022000,End = 03022000,Country:Bolivia,Location : Andes,Type:Flood,Sub_Type:nan,Names:nan,Killed = 29. 999999,Affected = 10.0,Cost = nan,ID = 2000-0905
Start = 16072002,End = 16072002,Country:United Kingdom,Location : Au large de Great Yarmout ...,Type:Transport Accident,Sub_Type:Air,Names:Helicopter,Killed = 10. 999999,Affected = nan,Cost = nan,ID = 2002-0433
Start = 07041990,End = 07041990,Country:Morocco,Location : West of Casablanca,Type:Transport Accident,Sub_Type:Water,Names:Bac 'Eal Diamond',Killed = nan,Affected = nan,Cost = nan,ID = 1990-0490
